label,text
ham,"Hey, are we still on for dinner tonight at 7?"
spam,"Congratulations! You've been selected to win a free cruise. Click now to claim."
ham,"Can you pick up some milk on your way home?"
ham,"The project deadline has been moved to Friday. Let me know if you have any questions."
spam,"URGENT: Your account has been compromised. Log in now to reset your password."
ham,"I just finished reading the book you recommended, it was great!"
ham,"The doctor's appointment is at 2 PM tomorrow."
spam,"$$$ Make money from home with our amazing new system. Limited offer!"
ham,"Did you remember to send the report to the team?"
ham,"Just wanted to wish you a happy birthday! Have a great day."
spam,"You have a new voicemail message. Call 12345 to listen now."
ham,"I'll be there in 15 minutes, almost at your place."
ham,"Let's plan a movie night this weekend."
spam,"This is a final warning. Your subscription will be cancelled unless you renew immediately."
ham,"I'm feeling a little under the weather, think I'll stay in tonight."
ham,"Don't forget to pack your swimsuit for the trip."
spam,"Act now and get 50% off all our products. Visit our website for details."
ham,"Could you please forward me the meeting minutes?"
ham,"Let's catch up soon, it's been a while."
spam,"Your package has been held. Track it here to avoid additional fees."
ham,"Happy to help! Just let me know what you need."
ham,"The concert tickets are for Friday night, not Saturday."
spam,"You've won a free iPhone 15! Claim your prize here now."
ham,"I can't believe how cold it is today."
ham,"I'm going to the gym after work, want to join?"
spam,"Get rid of belly fat fast! Read our top 10 tips now."
ham,"Did you hear about the new restaurant that opened downtown?"
ham,"I've been working on the presentation all morning."
spam,"Get an exclusive loan with low interest rates. Apply today!"
ham,"Could you call me when you have a moment?"
ham,"The dog needs to go for a walk before it gets dark."
spam,"Attention: Your credit score is low. Improve it with our easy solutions."
ham,"What time do you think you'll be finished with work?"
ham,"We should try that new coffee shop sometime."
spam,"You have a pending notification from a friend you may know. View it now!"
ham,"I'm not sure if I'll be able to make it to the party."
ham,"Can you send me the photos from the trip?"
spam,"Your tax refund is waiting. Enter your details here to get paid."
ham,"I finally got that new game, it's so much fun!"
ham,"Don't forget to water the plants while I'm gone."
spam,"Last chance to unsubscribe from our newsletter. Click here."
ham,"Let's grab a coffee tomorrow morning."
ham,"I found that old movie we were looking for."
spam,"We have great deals on insurance. Get a free quote today."
ham,"My phone battery is about to die, I'll call you back later."
ham,"The flight is delayed by an hour."
spam,"Make a lot of money working from home with our new system."
ham,"I've been craving pizza all day."
ham,"Did you see the latest episode of that show?"
spam,"Exclusive opportunity for you. Get a free trial of our service."
ham,"I'm going to the grocery store, do you need anything?"
ham,"I'll pick you up at 6 PM."
spam,"Your bank account has been locked due to suspicious activity. Verify your identity now."
ham,"It's raining outside, I think I'll just stay in."
ham,"I'll be working late tonight, so don't wait up."
spam,"You've won a brand new car! Call now to claim."
ham,"I think I left my keys at your house."
ham,"The book club meeting is on Tuesday."
spam,"Your email address has been selected to win a free prize. Respond to claim."
ham,"I'm so tired, I need a nap."
ham,"I just got a promotion at work!"
spam,"Invest in our new crypto currency and get rich quick."
ham,"Can you remind me to do that later?"
ham,"The weather is supposed to be nice this weekend."
spam,"This is a private message from your bank. Click here to update your info."
ham,"I think I'm going to adopt a new cat."
ham,"I can't find my glasses anywhere."
spam,"You've been selected to receive a free gift card. Enter your details here."
ham,"What kind of food do you want for dinner?"
ham,"The train is running on time."
spam,"Get 50% off your first order when you sign up today!"
ham,"I'll be at the library all afternoon."
ham,"The concert starts at 8 PM."
spam,"Final notice: Your subscription is about to expire. Renew now."
ham,"I had a really good workout today."
ham,"I can't wait for the weekend."
spam,"You have been sent a secure message. View it here."
ham,"What's your favorite color?"
ham,"I finished all my homework already."
spam,"Your credit card has been charged. If this was not you, call us now."
ham,"I'm going on vacation next week."
ham,"I'm so excited for the new movie."
spam,"You've won a free lottery ticket. Claim your prize here!"
ham,"The package arrived today."
ham,"I just bought a new laptop."
spam,"Don't miss out on our amazing sale. Shop now!"
ham,"I'm going to start my own business."
ham,"The cat is sleeping on the couch."
spam,"Limited time offer! Get a free trial of our software."
ham,"The traffic is terrible right now."
ham,"I'll call you back later."
spam,"We have a special offer just for you. Click here to learn more."
ham,"I'm not sure if I'm doing this right."
ham,"I'm going to the beach this weekend."
spam,"You've received a gift from a friend. Claim it now!"
ham,"I'm so happy to see you again."
ham,"The sun is shining today."
spam,"This is your last chance to get a free voucher. Click here to redeem."